date,sh.600010,sh.600011,sh.600012,sh.600020,sh.600030
2020/12/8,1.18,4.85,6.44,3.49,30.01
2020/12/9,1.17,4.74,6.42,3.43,29.29
2020/12/10,1.19,4.74,6.39,3.42,29.16
2020/12/11,1.17,4.58,6.39,3.45,28.75
2020/12/14,1.17,4.59,6.16,3.4,28.84
2020/12/15,1.16,4.49,6.18,3.4,28.81
2020/12/16,1.16,4.43,6.19,3.38,28.61
2020/12/17,1.17,4.53,6.16,3.39,29.22
2020/12/18,1.19,4.71,6.07,3.38,28.81
2020/12/21,1.19,4.66,6.01,3.38,29.03
2020/12/22,1.16,4.54,5.93,3.27,28.01
2020/12/23,1.16,4.59,5.93,3.28,28.2
2020/12/24,1.16,4.58,5.84,3.23,28.06
2020/12/25,1.18,4.73,6.08,3.3,28.02
2020/12/28,1.17,4.72,5.86,3.29,27.98
2020/12/29,1.16,4.57,5.97,3.38,28.15
2020/12/30,1.17,4.53,6.11,3.33,28.5
2020/12/31,1.17,4.48,6.18,3.39,29.4
