"Stkcd","Stknme","Conme","Listdt"
"000728","国元证券","国元证券股份有限公司","1997-06-16"
"000729","燕京啤酒","北京燕京啤酒股份有限公司","1997-07-16"
"000730","*ST 环保","沈阳特种环保设备制造股份有限公司","1997-05-22"
"000731","四川美丰","四川美丰化工股份有限公司","1997-06-17"
"000732","ST 泰禾","泰禾集团股份有限公司","1997-07-04"
"000733","振华科技","中国振华(集团)科技股份有限公司","1997-07-03"
"000735","罗牛山","罗牛山股份有限公司","1997-06-11"
"000736","中交地产","中交地产股份有限公司","1997-04-25"
"000737","北方铜业","北方铜业(山西)股份有限公司","1997-04-28"
"000738","航发控制","中国航发动力控制股份有限公司","1997-06-26"
"000739","普洛药业","普洛药业股份有限公司","1997-05-09"
"000748","长城信息","长城信息产业股份有限公司","1997-07-04"
"000750","国海证券","国海证券股份有限公司","1997-07-09"
"000751","锌业股份","葫芦岛锌业股份有限公司","1997-06-26"
"000752","*ST 西发","西藏发展股份有限公司","1997-06-25"
"000753","漳州发展","福建漳州发展股份有限公司","1997-06-26"
"000755","山西路桥","山西路桥股份有限公司","1997-06-27"
"000756","新华制药","山东新华制药股份有限公司","1997-08-06"
"000757","浩物股份","四川浩物机电股份有限公司","1997-06-27"
"000758","中色股份","中国有色金属建设股份有限公司","1997-04-16"
"000759","中百集团","中百控股集团股份有限公司","1997-05-19"
"000760","斯太退","斯太尔动力股份有限公司","1997-06-27"
"000761","本钢板材","本钢板材股份有限公司","1998-01-15"
"000762","西藏矿业","西藏矿业发展股份有限公司","1997-07-08"
"000763","锦州石化","锦州石化股份有限公司","1997-09-15"
"000765","*ST 华信","武汉华信高新技术股份有限公司","1997-11-03"
"000766","通化金马","通化金马药业集团股份有限公司","1997-04-30"
"000767","晋控电力","晋能控股山西电力股份有限公司","1997-06-09"
"000768","中航西飞","中航西安飞机工业集团股份有限公司","1997-06-26"
"000769","*ST 大菲","沈阳菲菲澳家现代农业股份有限公司","1997-05-30"
"000776","广发证券","广发证券股份有限公司","1997-06-11"
"000777","中核科技","中核苏阀科技实业股份有限公司","1997-07-10"
"000778","新兴铸管","新兴铸管股份有限公司","1997-06-06"
"000779","甘咨询","甘肃工程咨询集团股份有限公司","1997-05-28"
"000780","ST 平能","内蒙古平庄能源股份有限公司","1997-06-06"
"000782","美达股份","广东新会美达锦纶股份有限公司","1997-06-19"
"000783","长江证券","长江证券股份有限公司","1997-07-31"
"000785","居然之家","居然之家新零售集团股份有限公司","1997-07-11"
"000786","北新建材","北新集团建材股份有限公司","1997-06-06"
"000787","*ST 创智","创智信息科技股份有限公司","1997-06-26"
"000788","北大医药","北大医药股份有限公司","1997-06-16"
"000789","万年青","江西万年青水泥股份有限公司","1997-09-23"
"000790","华神科技","成都华神科技集团股份有限公司","1998-03-27"
"000791","甘肃电投","甘肃电投能源发展股份有限公司","1997-10-14"
"000792","盐湖股份","青海盐湖工业股份有限公司","1997-09-04"
"000793","华闻集团","华闻传媒投资集团股份有限公司","1997-07-29"
"000795","英洛华","英洛华科技股份有限公司","1997-08-08"
"000796","ST 凯撒","凯撒同盛发展股份有限公司","1997-07-03"
"000797","中国武夷","中国武夷实业股份有限公司","1997-07-15"
"000798","中水渔业","中水集团远洋股份有限公司","1998-02-12"
"000799","酒鬼酒","酒鬼酒股份有限公司","1997-07-18"
"000800","一汽解放","一汽解放集团股份有限公司","1997-06-18"
"000801","四川九洲","四川九洲电器股份有限公司","1998-05-06"
"000802","ST 北文","北京京西文化旅游股份有限公司","1998-01-08"
"000803","北清环能","北清环能集团股份有限公司","1998-03-03"
"000805","*ST 炎黄","江苏炎黄在线物流股份有限公司","1998-05-29"
"000806","*ST 银河","北海银河生物产业投资股份有限公司","1998-04-16"
"000807","云铝股份","云南铝业股份有限公司","1998-04-08"
"000809","ST 新城","铁岭新城投资控股(集团)股份有限公司","1998-06-16"
"000810","创维数字","创维数字股份有限公司","1998-06-02"
"000811","冰轮环境","冰轮环境技术股份有限公司","1998-05-28"
"000812","陕西金叶","陕西金叶科教集团股份有限公司","1998-06-23"
"000813","德展健康","德展大健康股份有限公司","1998-05-19"
"000815","美利云","中冶美利云产业投资股份有限公司","1998-06-09"
"000816","智慧农业","江苏农华智慧农业科技股份有限公司","1997-08-18"
"000817","辽油退市","辽河金马油田股份有限公司","1998-05-28"
"000818","航锦科技","航锦科技股份有限公司","1997-10-17"
"000819","岳阳兴长","岳阳兴长石化股份有限公司","1997-06-25"
"000820","*ST 节能","神雾节能股份有限公司","1998-06-30"
"000821","京山轻机","湖北京山轻工机械股份有限公司","1998-06-26"
"000822","山东海化","山东海化股份有限公司","1998-07-03"
"000823","超声电子","广东汕头超声电子股份有限公司","1997-10-08"
"000825","太钢不锈","山西太钢不锈钢股份有限公司","1998-10-21"
"000826","启迪环境","启迪环境科技发展股份有限公司","1998-02-25"
"000827","*ST 长兴","大连长兴实业股份有限公司","1998-10-16"
"000828","东莞控股","东莞发展控股股份有限公司","1997-06-17"
"000829","天音控股","天音通信控股股份有限公司","1997-12-02"
"000830","鲁西化工","鲁西化工集团股份有限公司","1998-08-07"
"000831","五矿稀土","五矿稀土股份有限公司","1998-09-11"
"000832","*ST 龙涤","黑龙江龙涤股份有限公司","1998-08-25"
"000833","粤桂股份","广西粤桂广业控股股份有限公司","1998-11-11"
"000835","长动退","长城国际动漫游戏股份有限公司","1999-06-25"
"000836","富通信息","天津富通信息科技股份有限公司","1997-09-29"
"000837","秦川机床","秦川机床工具集团股份公司","1998-09-28"
"000838","财信发展","财信地产发展集团股份有限公司","1997-06-26"
"000839","ST 国安","中信国安信息产业股份有限公司","1997-10-31"
