Stkcd,Trddt,Opnprc,Clsprc
300183,2022/6/1,12.63,12.76
300184,2022/6/1,5.07,5.04
300185,2022/6/1,2.69,2.71
300187,2022/6/1,5.78,5.78
300188,2022/6/1,13.03,12.99
300189,2022/6/1,5.52,5.4
300190,2022/6/1,4.56,4.67
300191,2022/6/1,21.98,22
300192,2022/6/1,5.78,5.69
300193,2022/6/1,8.4,8.42
300194,2022/6/1,3.6,3.59
300195,2022/6/1,5.26,5.3
300196,2022/6/1,17.35,18.49
300197,2022/6/1,2.44,2.42
300198,2022/6/1,3.56,3.51
300199,2022/6/1,13.29,12.82
300200,2022/6/1,8.9,8.74
300201,2022/6/1,2.1,2.11
300203,2022/6/1,22.9,23.1
300204,2022/6/1,13.15,13.01
300205,2022/6/1,11.15,11.2
300206,2022/6/1,9.27,9.42
300207,2022/6/1,26.73,28.81
300208,2022/6/1,9.92,9.88
300209,2022/6/1,6.05,6.22
300210,2022/6/1,3.42,3.4
300211,2022/6/1,8.2,8.18
300212,2022/6/1,16.29,16.2
300213,2022/6/1,5.35,5.42
300214,2022/6/1,7.46,7.42
300215,2022/6/1,6.49,6.54
300217,2022/6/1,4.23,4.25
300218,2022/6/1,14.34,14.92
300219,2022/6/1,7.9,7.99
300220,2022/6/1,13,13.06
300221,2022/6/1,5.11,5.17
300222,2022/6/1,6.82,6.94
300223,2022/6/1,93.32,90.35
300224,2022/6/1,12.36,12.55
300225,2022/6/1,6.79,6.61
300226,2022/6/1,21.52,21.61
300227,2022/6/1,6.7,6.72
300228,2022/6/1,6.02,6.08
300229,2022/6/1,10.55,11.01
300230,2022/6/1,3.71,3.77
300231,2022/6/1,7.21,7.3
300232,2022/6/1,5.92,5.9
300233,2022/6/1,29.56,30.51
300234,2022/6/1,6.18,6.25
300235,2022/6/1,9.94,10.01
300236,2022/6/1,30,30.08
300237,2022/6/1,2.4,2.41
300238,2022/6/1,13.05,12.95
300239,2022/6/1,7.05,6.95
300240,2022/6/1,8.73,8.74
300241,2022/6/1,5.27,5.29
300242,2022/6/1,3.19,3.19
300243,2022/6/1,10.52,10.39
300244,2022/6/1,30.01,29.94
300245,2022/6/1,7.74,7.83
300246,2022/6/1,14.75,14.73
300247,2022/6/1,3.19,3.25
300248,2022/6/1,9.36,9.35
300249,2022/6/1,10.08,10.02
300250,2022/6/1,11.76,11.79
300251,2022/6/1,7.78,8.06
300252,2022/6/1,7.31,7.39
300253,2022/6/1,8.43,8.45
300254,2022/6/1,7.34,7.31
300255,2022/6/1,6.19,6.17
